license,license_family,project_type,distribution_model,usage,risk,reason
GPL-2.0,Strong Copyleft,DevOps automation platform,internal-only,shared library,High,Custom or proprietary terms may restrict redistribution and commercial deployment
LGPL-2.1,Weak Copyleft,mobile application,distributed,SDK integration,Medium,Weak copyleft obligations require compliance review but are limited in scope
GPL-3.0,Strong Copyleft,robotics control system,hosted,plugin framework,High,Strong copyleft obligations may require source disclosure for distributed proprietary software
BSD-3-Clause,Permissive,enterprise workflow system,internal-only,automation library,Low,License creates minimal compliance burden for commercial and hosted usage
MPL-2.0,Weak Copyleft,commercial SaaS platform,hosted,utility package,Medium,LGPL-style usage may require relinking rights and license notice compliance
CDDL-1.0,Weak Copyleft,industrial IoT platform,internal-only,workflow engine,Medium,Weak copyleft license is not as restrictive as GPL but still requires tracking
CDDL-1.0,Weak Copyleft,industrial IoT platform,hosted,plugin framework,Medium,Weak copyleft license is not as restrictive as GPL but still requires tracking
LGPL-3.0,Weak Copyleft,internal enterprise tool,internal-only,API service,Medium,Moderate risk because source obligations usually apply to modified covered files
Proprietary,Restricted,healthcare portal,internal-only,automation library,High,Unknown license creates unresolved legal and compliance uncertainty
BSD-3-Clause,Permissive,DevOps automation platform,internal-only,API service,Low,Permissive license allows commercial use with attribution and notice obligations
EPL-2.0,Weak Copyleft,enterprise workflow system,hosted,embedded library,Medium,File-level copyleft obligations create moderate compliance requirements
Apache-2.0,Permissive,online education platform,distributed,messaging framework,Low,Low risk because the license allows proprietary integration
CDDL-1.0,Weak Copyleft,industrial IoT platform,hosted,plugin framework,Medium,Weak copyleft license is not as restrictive as GPL but still requires tracking
LGPL-3.0,Weak Copyleft,desktop application,distributed,model serving framework,Medium,Moderate risk because source obligations usually apply to modified covered files
Unlicense,Public Domain,cloud CRM platform,internal-only,shared library,Low,Permissive terms support redistribution with copyright and license notice
BSD-2-Clause,Permissive,cybersecurity monitoring tool,hosted,core library,Low,Permissive license allows commercial use with attribution and notice obligations
CC0-1.0,Public Domain,enterprise workflow system,distributed,backend framework,Low,License creates minimal compliance burden for commercial and hosted usage
GPL-2.0,Strong Copyleft,commercial closed-source software,internal-only,visualization library,High,High risk because network or redistribution obligations may conflict with commercial use
BSD-3-Clause,Permissive,desktop application,internal-only,visualization library,Low,Public-domain style terms create minimal restriction for reuse
CC0-1.0,Public Domain,industrial IoT platform,distributed,frontend component,Low,Permissive terms support redistribution with copyright and license notice
Unlicense,Public Domain,robotics control system,internal-only,automation library,Low,License creates minimal compliance burden for commercial and hosted usage
CDDL-1.0,Weak Copyleft,cloud CRM platform,distributed,messaging framework,Medium,Weak copyleft license is not as restrictive as GPL but still requires tracking
LGPL-2.1,Weak Copyleft,commercial ERP system,hosted,data processing module,Medium,Weak copyleft obligations require compliance review but are limited in scope
LGPL-2.1,Weak Copyleft,online education platform,hosted,data processing module,Medium,Weak copyleft obligations require compliance review but are limited in scope
MIT,Permissive,industrial IoT platform,hosted,embedded library,Low,Permissive terms support redistribution with copyright and license notice
BSD-2-Clause,Permissive,scientific computing toolkit,hosted,embedded library,Low,Permissive terms support redistribution with copyright and license notice
